,5 YR Real Yld,7 YR Real Yld,10 YR Real Yld,5 YR Nom Yld,7 YR Nom Yld,10 YR Nom Yld,24M CPI (Ann.),,,,CPI,12M CPI (Ann.),24M CPI (Ann.),36M CPI (Ann.),60M CPI (Ann.)
1/31/1921,-2.35,-2.30,-2.22,4.956666667,5.01,5.09,7.31%,,1921.01,1/31/1921,19,-1.55%,7.31%,10.72%,12.81%
2/28/1921,-1.65,-1.61,-1.55,4.922564103,4.961538462,5.02,6.57%,,1921.02,2/28/1921,18.4,-5.64%,6.57%,9.28%,12.09%
3/31/1921,-0.74,-0.71,-0.67,4.893333333,4.92,4.96,5.63%,,1921.03,3/31/1921,18.3,-7.11%,5.63%,9.34%,11.75%
4/30/1921,0.75,0.76,0.78,4.859230769,4.871538462,4.89,4.11%,,1921.04,4/30/1921,18.1,-10.84%,4.11%,8.43%,11.29%
5/31/1921,2.49,2.49,2.49,4.83,4.83,4.83,2.34%,,1921.05,5/31/1921,17.7,-14.08%,2.34%,6.87%,10.59%
6/30/1921,2.75,2.73,2.71,4.795897436,4.781538462,4.76,2.05%,,1921.06,6/30/1921,17.6,-15.79%,2.05%,6.19%,10.26%
7/31/1921,3.91,3.88,3.84,4.766666667,4.74,4.7,0.86%,,1921.07,7/31/1921,17.7,-14.90%,0.86%,5.44%,10.38%
8/31/1921,4.73,4.69,4.63,4.732564103,4.691538462,4.63,0.00%,,1921.08,8/31/1921,17.7,-12.81%,0.00%,4.75%,10.18%
9/30/1921,5.54,5.49,5.41,4.698461538,4.643076923,4.56,-0.85%,,1921.09,9/30/1921,17.5,-12.50%,-0.85%,3.68%,9.53%
10/31/1921,6.34,6.27,6.17,4.669230769,4.601538462,4.5,-1.67%,,1921.1,10/31/1921,17.5,-12.06%,-1.67%,3.03%,9.14%
11/30/1921,7.65,7.57,7.45,4.635128205,4.553076923,4.43,-3.02%,,1921.11,11/30/1921,17.4,-12.12%,-3.02%,2.20%,8.64%
12/31/1921,8.93,8.84,8.70,4.605897436,4.511538462,4.37,-4.33%,,1921.12,12/31/1921,17.3,-10.82%,-4.33%,1.59%,8.32%
1/31/1922,10.30,10.47,10.72,3.874358974,4.044615385,4.3,-6.42%,,1922.01,1/31/1922,16.9,-11.05%,-6.42%,0.80%,7.63%
2/28/1922,10.78,10.96,11.22,3.879230769,4.051538462,4.31,-6.91%,,1922.02,2/28/1922,16.9,-8.15%,-6.91%,1.42%,7.09%
3/31/1922,11.81,11.98,12.24,3.879230769,4.051538462,4.31,-7.93%,,1922.03,3/31/1922,16.7,-8.74%,-7.93%,0.61%,6.83%
4/30/1922,13.18,13.36,13.62,3.884102564,4.058461538,4.32,-9.30%,,1922.04,4/30/1922,16.7,-7.73%,-9.30%,0.00%,5.80%
5/31/1922,13.85,14.02,14.28,3.884102564,4.058461538,4.32,-9.96%,,1922.05,5/31/1922,16.7,-5.65%,-9.96%,-0.40%,5.46%
6/30/1922,14.50,14.68,14.94,3.888974359,4.065384615,4.33,-10.61%,,1922.06,6/30/1922,16.7,-5.11%,-10.61%,-0.40%,5.14%
